line Motor1 Motor2 Motor3 Motor4 anglePITCH angleROLL clientPITCH clientROLL clientYAW inputPidPITCH inputPidROLL inputPidYAW outputPidPITCH outputPidROLL outputPidYAW Battery 
0 1051 1051 1063 1062 0 -2 0 9426 0 -106 -172 -142 -70 -12428 -464 71  
1 1050 1050 1059 1058 0 -2 0 9333 0 -62 -90 -139 -105 -9334 -529 71  
2 1050 1050 1059 1058 0 -2 0 9333 0 -107 -158 -162 -63 -9482 -668 71  
3 1050 1050 1059 1058 0 -2 0 9333 0 -56 -133 -155 -110 -9647 -729 71  
4 1050 1050 1059 1058 0 -2 0 9333 0 -96 -117 -150 -134 -9450 -789 71  
5 1050 1050 1059 1058 0 -2 0 9333 0 -67 -102 -135 -66 -9382 -817 71  
6 1050 1050 1059 1058 0 -2 0 9333 0 -78 -108 -133 -67 -9390 -878 71  
7 1050 1050 1059 1058 0 -2 0 9333 0 -109 -105 -151 -70 -9440 -1004 71  
8 1050 1050 1059 1058 0 -2 0 9333 0 -97 -157 -135 -161 -9577 -1026 71  
9 1050 1050 1060 1057 0 -2 0 9333 0 -105 -143 -155 -59 -9333 -1167 71  
10 1050 1050 1060 1058 0 -2 0 9333 0 -59 -143 -72 -40 -9534 -968 71  
11 1050 1050 1060 1057 0 -2 0 9333 0 -85 -158 -128 -72 -9532 -1191 71  
12 1050 1050 1060 1057 0 -2 0 9333 0 -78 -130 -133 -134 -9500 -1264 71  
13 1050 1050 1060 1057 0 -2 0 9333 0 -94 -91 -143 -47 -9355 -1371 71  
14 1050 1050 1060 1057 0 -2 0 9333 0 -93 -113 -106 -142 -9567 -1323 71  
15 1050 1050 1060 1057 0 -2 0 9333 0 11 -63 -65 68 -9299 -1240 71  
16 1050 1050 1060 1057 0 -2 0 9333 0 -121 -155 -143 -176 -9508 -1524 71  
17 1053 1053 1063 1060 0 -1 0 8772 0 -19 -45 -63 11 -8661 -1334 71  
18 1050 1050 1060 1057 0 -2 0 9333 0 -169 -190 -155 -253 -9670 -1663 71  
19 1050 1050 1060 1057 0 -2 0 9333 0 -193 -146 -164 -138 -9530 -1767 71  
20 1050 1050 1061 1058 0 -2 0 9333 0 -673 -693 -541 -1033 -10397 -3047 71  
21 1050 1050 1063 1057 0 -2 0 9333 0 -1135 -1095 -855 -1279 -10486 -4347 71  
22 1050 1050 1071 1064 0 -2 0 11126 0 423 -3101 -35 1580 -18541 -2180 71  
23 1050 1050 1126 1115 0 -8 0 39966 0 4812 -13148 1004 6565 -71753 1057 71  
24 1050 1050 1225 1234 0 -25 -4106 119379 0 8710 -25754 6344 13986 -180439 18953 71  
25 1050 1050 1260 1269 1 -42 -8679 204219 0 -7217 -12683 907 307 -215120 4724 71  
26 1050 1059 1190 1188 4 -39 -21079 186733 0 13363 24673 14433 49633 -139855 48701 71  
27 1050 1064 1154 1118 8 -27 -40239 131666 0 14260 30906 5393 47260 -85550 28204 71  
28 1052 1052 1135 1069 7 -13 -34226 63172 0 -11248 6524 -10046 17097 -47566 -20857 71  
29 1055 1050 1116 1058 5 -7 -24039 33699 0 -14943 -5927 -9209 6393 -35956 -23305 71  
30 1129 1095 1056 1051 2 1 -12773 -6666 0 -13362 15342 -6740 -2137 57355 -19842 71  
31 1261 1251 1050 1050 0 25 -2706 -121759 0 -2242 42792 -1012 -898 206941 -4151 71  
32 1237 1278 1050 1050 0 45 1213 -216786 0 2087 6909 6269 2434 208323 18386 71  
33 1070 1090 1071 1108 -2 23 9333 -113566 0 1460 -52840 5046 -15086 -7418 18685 71  
34 1082 1050 1163 1129 -4 -8 20979 40852 0 -18208 -46421 -21530 -48482 -97126 -65105 71  
35 1125 1050 1081 1114 -9 -10 47279 51919 0 -16038 -5235 -13507 -69461 -45094 -51430 71  
36 1399 1050 1100 1213 -18 -4 88239 21653 0 -97279 -57249 -57689 -257170 -103389 -196679 71  
